,name,position_firm,sex,age,contact_details,email_add,vc_stakeholders,industry_cluster,reg_businessname,business_addr,form_interprise,issued_by_business_reg,issued_by_product_reg,issued_by_cert_reg,issued_by_lic_op,issued_by_iso_cert,issued_by_gapgmp_cert,issued_by_organic,issued_by_halal,issued_by_other_cert,type_enterprise,store_capacity_organic,store_capacity_synthetic,potential_organic,potential_synthetic,other_info_organic,other_info_synthetic,store_capacity_pesticides,store_capacity_herbicides,potential_pesticides,potential_herbicides,other_info_pesticides,other_info_herbicides,store_capacity_vermicast_compost,potential_vermicast_compost,other_info_vermicast_compost,store_capacity_seedlings,potential_seedlings,other_info_seedlings,store_capacity_others_specific_products,potential_others_specific_products,other_info_others_specific_products,area_capacity_drying,potential_exp_drying,other_info_drying,area_capacity_storage_hauling,potential_exp_storage_hauling,other_info_storage_hauling,area_capacity_storage,potential_exp_storage,other_info_storage,current_capacity_semi_processing,potential_exp_semi_processing,other_info_semi_processing,current_capacity_final_product,potential_exp_final_product,other_info_final_product,volume_consolidation,potential_consolidation,other_info_consolidation,production_pack_label,potential_pack_label,other_info_pack_label,loan_portfo_micro_financing,potential_micro_financing,other_info_micro_financing,loan_portfo_insurance,potential_insurance,other_info_insurance,prodsales_product_service,prodsales_sales_vol,prodsales_unit_selling,prodsales_unit_measurement,prodsales_payment_terms,raw_materials,volume_supply,quality_requirement,unit_measurement_raw,distrib_point_local_cust,sales_vol_local_cust,payment_terms_local_cust,inhouse_num_workersmale,inhouse_num_workersfemale,inhouse_memb_ip_group,inhouse_ave_workdays,inhouse_ave_salary,sub_cont_num_workersmale,sub_cont_num_workersfemale,sub_cont_memb_ip_group,sub_cont_ave_workdays,sub_cont_ave_salary,piece_rate_num_workersmale,piece_rate_num_workersfemale,piece_rate_memb_ip_group,piece_rate_ave_workdays,piece_rate_ave_salary,form_interprise2,pricing,quality_raw,quality_final_prod,other_specifyc3,existing_comm,prov_supp_assis,business_prodc3,member_livelihood,what_cluster_industry
0,Samuel A. Cabagay,owner,Male,23,09485810355,sam@gmail.com,MSME,coconut,Chocoa,bukidnon,Single/Sole,samples,,,,,,,,,,asdsad,asdsad,sadasd,asdasd,sadsad,asdsad,asdasd,asd,asdsad,asdasd,asdasd,sada,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,"asdasd""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",asdasd,asdasd,asdasd,,asdasd,asdasd,asdasd,None,None,None,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,asdasd,None,asd,asdasd,sad,,,,,,,,,,,,,,,,,,,,Yes,Yes,No,,,No,,,Yes,asdas
1,Charles Hallasgos,owner,Male,26,0923187312,charles@gmail.com,MSME,coconut,nut,southern leyte,Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,,,,,,,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Reignme Burdeoss,owner,Male,25,09372647182,reign@gmail.com,MSME,coffee,reignfee,"Butuan City, agusan del norte",Single/Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,John Doe,owner,Male,25,09382746152,johnd@gmail.com,MSME,coconut,cocojohn,Davao del sur,Single/Sole,sample,sample2,,,,,,,,Medium (15.1M-100M),oragnic 	store capacity,synth store capacity,organic potential,synt potential,organic other,synth other,pest store capacity,herb store capacity,pest potential ,herb potential,peasd,aoisdhaosid,soaidj,asodij,asoidjasd,asidoa,asdoijasdij,sadiojsadio,asiodjasiod,iosadjioasd,saidjasid,asdjsaoij,saodijas,asdij,asoidj,saodij,asdij,,,,asiodj,asidja,aiodj,asjdioasjd,iasjdiasdj,asidjasdi,asidojasoidj,asoidjasiod,asdiojsadioj,aisdjasoid,oasijdasidasd,asiodja,asodij,saiodj,sadioj,asiodjsadioj,asidojasdioj,asiodjsadij,asiodjasid,asoidjsaoid,asiodjsad,sadioj,,asdhsdi,ihassaduh,sauidhsauidh,sauidhasiudh,asdjaosidjas,ijasiodjaosidjas,oijsadoijsd,asoidjas,,oaisdjsaoid,aosidj,asdiojasd,asodij,,asdiojd,asodijsaoid,aoisdjsaio,aosidjsaiod,,saidjsaodij,aosidjd,saiodjsdij,No,Yes,Yes,No,other prob,No,No,No,Yes,asdhasiudh
4,jason tatum,owner,Male,25,09382614251,jason@gmail.com,MSME,,Pilingon,"bayugan, agusan del sur",Single/Sole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
5,Jay Balino,owner,Female,25,09283716251,jay@gmail.com,MSME,coffee,jayfee,"Butuan City, agusan del norte",Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
6,Cris John Montanez,owner,Male,25,09381726351,cris@gmail.com,MSME,coffee,C coffee,maguindanao,Single/Sole,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
7,ivan serrano,owner,Male,25,09382615261,,MSME,Coconut,gummy,southern leyte,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
8,Jessa Doe,owner,Female,28,09381735162,,MSME,Coffee,kopi,davao del sur,Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
9,felix aude,owner,Male,28,09381735164,,MSME,Coconut,kopi,davao oriental,Partnership,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,None,None,,None,None,None,None,
